"uri","name","genres","followers","popularity","image_url"
"spotify:artist:0OltT51j3hIkgaDJqqPzDn","Nicola Cruz","EDM",331695,52,"https://i.scdn.co/image/ab6761610000e5eb2733b3485f1950bd7874fff6"
"spotify:artist:5s6TJEuHTr9GR894wc6VfP","Emmylou Harris","Country",331515,61,"https://i.scdn.co/image/41d9dddfce358cc92f8c1285ba1174c05e68af5b"
"spotify:artist:7zrkALJ9ayRjzysp4QYoEg","Maribou State","EDM",331213,64,"https://i.scdn.co/image/ab6761610000e5eb891e2c688e41fa8d36b77175"
"spotify:artist:5W10uJRsbt9bROJDKoI1Wn","Moses Sumney","R&B",330936,51,"https://i.scdn.co/image/ab6761610000e5eb253f8e52875d620a6c7044b3"
"spotify:artist:1bT7m67vi78r2oqvxrP3X5","Naughty Boy","R&B",330620,61,"https://i.scdn.co/image/ab6761610000e5ebcbcd26e15c2a43b920871ac5"
"spotify:artist:6OheJTrDFGiyZ67F1BBLhc","Crystal Gayle","Country",326949,54,"https://i.scdn.co/image/15d9d51358ee4c1c0e4a9d52ca85b5eab75bbdd5"
"spotify:artist:42q4Ivs7tAiCZ5C7eG5q4c","Harry Chapin","Country",323744,52,"https://i.scdn.co/image/ab67616d0000b273743ebb11200358b5c050f542"
"spotify:artist:0Lpr5wXzWLtDWm1SjNbpPb","Todd Rundgren","Country",322726,56,"https://i.scdn.co/image/ab6772690000c46cdecea50bc0ab048e84202186"
"spotify:artist:3QDaXfnxfQqqJQK5lSdjLN","Jerry Garcia","Country",321316,51,"https://i.scdn.co/image/ab6761610000e5eb71eeedbc274fe4e36abd3af9"
"spotify:artist:24icoQNJSEWNu3XvqKBR68","Jordan Rakei","R&B",320687,59,"https://i.scdn.co/image/ab6761610000e5eb20fc563b6784bec1ad0ed30f"
"spotify:artist:1U0sIzpRtDkvu1hXXzxh60","Kelela","R&B",320280,57,"https://i.scdn.co/image/ab6761610000e5eb3e1ea6c556d5da2afcdafbf8"
"spotify:artist:3cuVSUrq0yoSSP7gpvI6q1","MC Magic","Hip-Hop",319496,54,"https://i.scdn.co/image/ab6761610000e5eb422690f36b04c8d9d89bfd53"
"spotify:artist:579LsvZcRVKtToYjS0tkKz","Big Scarr","Hip-Hop",318953,66,"https://i.scdn.co/image/ab6761610000e5eb2d99c3aae4ce3223c52cea7d"
"spotify:artist:42yf4QkiE9a252krn9OUCb","Sauce Walka","Hip-Hop",318949,55,"https://i.scdn.co/image/ab6761610000e5eb9463b19f1ec3dabe8e5b04e6"
"spotify:artist:4EENT7N7rCBwrddM3s0vFS","Cut Copy","EDM",318686,50,"https://i.scdn.co/image/ab6761610000e5eba853e2d9139528ce18f94119"
"spotify:artist:1vgjN6nIPNKiiQGE9PtzTT","Lisa Lisa & Cult Jam","R&B",318367,46,"https://i.scdn.co/image/21ec050a1444f2255acdc068fda8be40144fd3df"
"spotify:artist:0sD8Amms4kSxs5tBV4CUmR","Smokie Norful","R&B",317915,46,"https://i.scdn.co/image/8f50eb3dea82fcaca1c321f01332cb1125305293"
"spotify:artist:6PjV05LlULv9XmFu7HeAia","Wheeler Walker Jr.","Country",317773,56,"https://i.scdn.co/image/ab6761610000e5eb0321d059e724c31884930de1"
"spotify:artist:1WjBIvYAnZTkTh5UiZNwlR","Oliver Koletzki","EDM",317385,54,"https://i.scdn.co/image/ab6761610000e5eb0a51f7b8076d36c7c1bbb784"
"spotify:artist:0dlwjJe4kg9TgOMN184bJF","Mark Wills","Country",316542,50,"https://i.scdn.co/image/ab6761610000e5eb7ef56733cd4f1ec59ff1f003"
"spotify:artist:6TxY5T8v9RjF7Ry4XQvWT5","Chris Travis","Hip-Hop",316438,62,"https://i.scdn.co/image/ab6761610000e5eb281b3dac74532a27b0523a29"
"spotify:artist:5Matrg5du62bXwer29cU5T","Benny The Butcher","Hip-Hop",316243,65,"https://i.scdn.co/image/ab6761610000e5eb1f43a06aa30561212e001a66"
"spotify:artist:46auOkH1pk28rWrSoUNhLo","Orville Peck","Country",314318,58,"https://i.scdn.co/image/ab6761610000e5eb7b1eab5bbcfd5b2dd57c1753"
"spotify:artist:3csPCeXsj2wezyvkRFzvmV","Orbital","EDM",313362,50,"https://i.scdn.co/image/ab6761610000e5eb412a87a7dcc54e4037e7c8aa"
"spotify:artist:0Z8XVUAOBPM4x12wKnFHEQ","Parker McCollum","Country",313024,69,"https://i.scdn.co/image/ab6761610000e5eb9cb37053366acc01450e6696"
"spotify:artist:6g10GEtmIVqIQBhPZh4ScQ","Zach Williams","Rock",312826,62,"https://i.scdn.co/image/ab6761610000e5ebc73ef74b1863cb7d3f30eaf8"
"spotify:artist:7CCjtD0hCK005Bvg2WG1a7","Carnage","EDM",311580,56,"https://i.scdn.co/image/ab6761610000e5eb9dce3cbff297c22fbcd62a96"
"spotify:artist:6vHBuUxrcpn1do5UaEJ7g6","Domo Genesis","Hip-Hop",311461,60,"https://i.scdn.co/image/ab6761610000e5eb326a61a99773406cc8a6b0dd"
"spotify:artist:2rwALQ1SXdfUWPUd6WOfYS","Aaron May","Hip-Hop",311209,68,"https://i.scdn.co/image/ab6761610000e5eb9d28e5b36e32b169ca474554"
